class name;;number of detected pattern
java.net.Proxy;;0
java.net.JarURLConnection;;0
java.net.BindException;;0
java.net.StandardSocketOptions;;0
java.net.Socket;;8
java.net.SdpSocketImpl;;0
java.net.NoRouteToHostException;;0
java.net.InetAddress;;1
java.net.HttpRetryException;;0
java.net.TwoStacksPlainDatagramSocketImpl;;0
java.net.AbstractPlainDatagramSocketImpl;;0
java.net.DatagramPacket;;0
java.net.ServerSocket;;1
java.net.PlainSocketImpl;;0
java.net.CacheResponse;;0
java.net.ProxySelector;;0
java.net.CookieHandler;;0
java.net.SocketImpl;;0
java.net.StandardProtocolFamily;;0
java.net.URLEncoder;;0
java.net.InMemoryCookieStore;;0
java.net.PasswordAuthentication;;0
java.net.DualStackPlainDatagramSocketImpl;;0
java.net.HttpCookie;;1
java.net.CacheRequest;;0
java.net.CookiePolicy;;0
java.net.HttpURLConnection;;0
java.net.MalformedURLException;;0
java.net.MulticastSocket;;0
java.net.DefaultDatagramSocketImplFactory;;0
java.net.SocketAddress;;0
java.net.DatagramSocketImpl;;0
java.net.URLStreamHandler;;1
java.net.SocketOutputStream;;0
java.net.ProtocolException;;0
java.net.Inet4Address;;0
java.net.TwoStacksPlainSocketImpl;;0
java.net.InetSocketAddress;;1
java.net.InterfaceAddress;;0
java.net.SocketException;;0
java.net.NetworkInterface;;0
java.net.ContentHandler;;0
java.net.URLConnection;;1
java.net.URISyntaxException;;0
java.net.NetPermission;;0
java.net.SocketPermission;;0
java.net.DefaultInterface;;0
java.net.SocksSocketImpl;;0
java.net.UnknownServiceException;;0
java.net.SocketTimeoutException;;0
java.net.AbstractPlainSocketImpl;;0
java.net.SocketInputStream;;0
java.net.URLDecoder;;0
java.net.DatagramSocket;;2
java.net.Inet6AddressImpl;;0
java.net.Inet4AddressImpl;;0
java.net.ConnectException;;0
java.net.PortUnreachableException;;0
java.net.UnknownHostException;;0
java.net.DualStackPlainSocketImpl;;0
java.net.IDN;;0
java.net.URLClassLoader;;1
java.net.Authenticator;;0
java.net.CookieManager;;2
java.net.URI;;9
java.net.Inet6Address;;0
java.net.SecureCacheResponse;;0
java.net.URL;;2
java.net.ResponseCache;;0
