class name;;Method name;;number of detected pattern
java.text.AttributedString;;<init>;;1
java.text.AttributedString;;<init>;;1
java.text.AttributedString;;<init>;;1
java.text.AttributedString;;<init>;;1
java.text.AttributedString;;addAttribute;;1
java.text.AttributedString;;addAttribute;;1
java.text.AttributedString;;addAttributes;;1
java.text.AttributedString;;attributeValuesMatch;;1
java.text.AttributedString;;appendContents;;2
java.text.AttributedString;;access$000;;1
java.text.AttributedString;;access$100;;1
java.text.AttributedString;;access$300;;1
java.text.AttributedString;;access$400;;1
java.text.Bidi;;<init>;;1
java.text.Bidi;;<init>;;1
java.text.Bidi;;<init>;;1
java.text.BreakIterator;;getLong;;1
java.text.BreakIterator;;getInt;;1
java.text.BreakIterator;;getShort;;1
java.text.StringCharacterIterator;;<init>;;1
java.text.StringCharacterIterator;;<init>;;1
java.text.StringCharacterIterator;;setText;;1
java.text.StringCharacterIterator;;equals;;1
java.text.DictionaryBasedBreakIterator;;prepareCategoryFlags;;1
java.text.RuleBasedBreakIterator;;checkOffset;;1
java.text.RuleBasedBreakIterator;;setText;;1
java.text.MessageFormat;;applyPattern;;1
java.text.MessageFormat;;setFormatsByArgumentIndex;;1
java.text.MessageFormat;;setFormats;;1
java.text.MessageFormat;;formatToCharacterIterator;;1
java.text.MessageFormat;;parse;;1
java.text.MessageFormat;;subformat;;1
java.text.MessageFormat;;append;;2
java.text.MessageFormat;;makeFormat;;1
java.text.MessageFormat;;findKeyword;;2
java.text.MessageFormat;;copyAndFixQuotes;;2
java.text.MessageFormat;;readObject;;1
java.text.CalendarBuilder;;establish;;1
java.text.DateFormatSymbols;;setZoneStrings;;1
java.text.DateFormatSymbols;;setLocalPatternChars;;1
java.text.DateFormatSymbols;;toOneBasedArray;;1
java.text.DateFormatSymbols;;getZoneIndex;;1
java.text.DateFormatSymbols;;copyMembers;;2
java.text.DateFormatSymbols;;writeObject;;1
java.text.CharacterIteratorFieldDelegate;;formatted;;1
java.text.CharacterIteratorFieldDelegate;;getIterator;;1
java.text.FieldPosition;;access$100;;1
java.text.FieldPosition;;access$200;;1
java.text.ChoiceFormat;;applyPattern;;1
java.text.ChoiceFormat;;format;;1
java.text.ChoiceFormat;;parse;;2
java.text.ChoiceFormat;;readObject;;1
java.text.NumberFormat;;format;;1
java.text.NumberFormat;;readObject;;1
java.text.NumberFormat;;writeObject;;1
java.text.CollationElementIterator;;<init>;;2
java.text.CollationElementIterator;;<init>;;1
java.text.RBCollationTables;;reverse;;1
java.text.RBCollationTables;;getEntry;;1
java.text.RBCollationTables;;access$102;;1
java.text.RBCollationTables;;access$202;;1
java.text.RBCollationTables;;access$302;;1
java.text.RBCollationTables;;access$402;;1
java.text.RBCollationTables;;access$502;;1
java.text.RBCollationTables;;access$602;;1
java.text.RBCollationTables;;access$702;;1
java.text.RBCollationTables;;access$802;;1
java.text.RuleBasedCollator;;<init>;;1
java.text.CollationKey;;<init>;;1
java.text.DateFormat;;format;;1
java.text.SimpleDateFormat;;<init>;;1
java.text.SimpleDateFormat;;initializeCalendar;;1
java.text.SimpleDateFormat;;compile;;1
java.text.SimpleDateFormat;;encode;;1
java.text.SimpleDateFormat;;set2DigitYearStart;;1
java.text.SimpleDateFormat;;format;;1
java.text.SimpleDateFormat;;format;;1
java.text.SimpleDateFormat;;formatToCharacterIterator;;1
java.text.SimpleDateFormat;;subFormat;;2
java.text.SimpleDateFormat;;zeroPaddingNumber;;1
java.text.SimpleDateFormat;;parse;;2
java.text.SimpleDateFormat;;matchString;;3
java.text.SimpleDateFormat;;matchString;;2
java.text.SimpleDateFormat;;matchZoneString;;2
java.text.SimpleDateFormat;;matchDSTString;;2
java.text.SimpleDateFormat;;subParseZoneString;;1
java.text.SimpleDateFormat;;subParseNumericZone;;2
java.text.SimpleDateFormat;;subParse;;4
java.text.SimpleDateFormat;;translatePattern;;3
java.text.SimpleDateFormat;;setDateFormatSymbols;;1
java.text.SimpleDateFormat;;equals;;1
java.text.SimpleDateFormat;;readObject;;1
java.text.DecimalFormat;;<init>;;1
