class name;;number of detected pattern
java.net.Proxy;;1
java.net.JarURLConnection;;0
java.net.BindException;;0
java.net.StandardSocketOptions;;0
java.net.Socket;;2
java.net.SdpSocketImpl;;0
java.net.NoRouteToHostException;;0
java.net.InetAddress;;0
java.net.HttpRetryException;;0
java.net.TwoStacksPlainDatagramSocketImpl;;0
java.net.AbstractPlainDatagramSocketImpl;;3
java.net.DatagramPacket;;1
java.net.ServerSocket;;1
java.net.PlainSocketImpl;;1
java.net.CacheResponse;;0
java.net.ProxySelector;;0
java.net.CookieHandler;;0
java.net.SocketImpl;;0
java.net.StandardProtocolFamily;;0
java.net.URLEncoder;;0
java.net.InMemoryCookieStore;;0
java.net.PasswordAuthentication;;0
java.net.DualStackPlainDatagramSocketImpl;;1
java.net.HttpCookie;;0
java.net.CacheRequest;;0
java.net.CookiePolicy;;0
java.net.HttpURLConnection;;0
java.net.MalformedURLException;;0
java.net.MulticastSocket;;2
java.net.DefaultDatagramSocketImplFactory;;0
java.net.SocketAddress;;0
java.net.DatagramSocketImpl;;0
java.net.URLStreamHandler;;0
java.net.SocketOutputStream;;0
java.net.ProtocolException;;0
java.net.Inet4Address;;1
java.net.TwoStacksPlainSocketImpl;;0
java.net.InetSocketAddress;;0
java.net.InterfaceAddress;;0
java.net.SocketException;;0
java.net.NetworkInterface;;1
java.net.ContentHandler;;0
java.net.URLConnection;;0
java.net.URISyntaxException;;0
java.net.NetPermission;;0
java.net.SocketPermission;;0
java.net.DefaultInterface;;0
java.net.SocksSocketImpl;;1
java.net.UnknownServiceException;;0
java.net.SocketTimeoutException;;0
java.net.AbstractPlainSocketImpl;;2
java.net.SocketInputStream;;0
java.net.URLDecoder;;0
java.net.DatagramSocket;;2
java.net.Inet6AddressImpl;;0
java.net.Inet4AddressImpl;;0
java.net.ConnectException;;0
java.net.PortUnreachableException;;0
java.net.UnknownHostException;;0
java.net.DualStackPlainSocketImpl;;0
java.net.IDN;;0
java.net.URLClassLoader;;0
java.net.Authenticator;;0
java.net.CookieManager;;0
java.net.URI;;1
java.net.Inet6Address;;0
java.net.SecureCacheResponse;;0
java.net.URL;;0
java.net.ResponseCache;;0
